"#name,fg,bg,hl-fg,hl-bg,cur-fg,cur-bg,ansi-0,ansi-1,ansi-2,ansi-3,ansi-4,ansi-5,ansi-6,ansi-7,ansi-8,ansi-9,ansi-10,ansi-11,ansi-12,ansi-13,ansi-14,ansi-15"
catppuccin-macchiato,#cad3f5,#24273a,#cad3f5,#454a5f,#454a5f,#cad3f5,#494d64,#ed8796,#a6da95,#eed49f,#8aadf4,#f5bde6,#8bd5ca,#b8c0e0,#5b6078,#ed8796,#a6da95,#eed49f,#8aadf4,#f5bde6,#8bd5ca,#a5adcb
catppuccin-mocha,#cdd6f4,#1e1e2e,#cdd6f4,#414356,#414356,#cdd6f4,#45475a,#f38ba8,#a6e3a1,#f9e2af,#89b4fa,#f5c2e7,#94e2d5,#bac2de,#585b70,#f38ba8,#a6e3a1,#f9e2af,#89b4fa,#f5c2e7,#94e2d5,#a6adc8
cga,#aaaaaa,#000000,#000000,#c1deff,#000000,#b8b8b8,#000000,#aa0000,#00aa00,#aa5500,#0000aa,#aa00aa,#00aaaa,#aaaaaa,#555555,#ff5555,#55ff55,#ffff55,#5555ff,#ff55ff,#55ffff,#ffffff
chalk,#d2d8d9,#2b2d2e,#3f4041,#e4e8ed,#2b2d2e,#708284,#7d8b8f,#b23a52,#789b6a,#b9ac4a,#2a7fac,#bd4f5a,#44a799,#d2d8d9,#888888,#f24840,#80c470,#ffeb62,#4196ff,#fc5275,#53cdbd,#d2d8d9
chalkboard,#d9e6f2,#29262f,#ffffff,#073642,#29262f,#d9e6f2,#000000,#c37372,#72c373,#c2c372,#7372c3,#c372c2,#72c2c3,#d9d9d9,#323232,#dbaaaa,#aadbaa,#dadbaa,#aaaadb,#dbaada,#aadadb,#ffffff
challengerdeep,#cbe1e7,#1e1c31,#1e1c31,#cbe1e7,#1e1c31,#fbfcfc,#141228,#ff5458,#62d196,#ffb378,#65b2ff,#906cff,#63f2f1,#a6b3cc,#565575,#ff8080,#95ffa4,#ffe9aa,#91ddff,#c991e1,#aaffe4,#cbe3e7
chester,#ffffff,#2c3643,#ffffff,#67747c,#2c3643,#b4b1b1,#080200,#fa5e5b,#16c98d,#ffc83f,#288ad6,#d34590,#28ddde,#e7e7e7,#6f6b68,#fa5e5b,#16c98d,#feef6d,#278ad6,#d34590,#27dede,#ffffff
chiba-dark,#cdcdcd,#181818,#181818,#cdcdcd,#181818,#cdcdcd,#181818,#ff8599,#00c545,#de9d00,#00b4ff,#fd71f8,#00bfae,#cdcdcd,#262626,#ff9eb2,#19de5e,#f7b619,#19cdff,#ff8aff,#19d8c7,#dadada
ciapre,#aea47a,#191c27,#aea47f,#172539,#191c27,#92805b,#181818,#810009,#48513b,#cc8b3f,#576d8c,#724d7c,#5c4f4b,#aea47f,#555555,#ac3835,#a6a75d,#dcdf7c,#3097c6,#d33061,#f3dbb2,#f4f4f4
citruszest,#bfbfbf,#121212,#f4f4f4,#ff8c00,#121212,#666666,#404040,#ff5454,#00cc7a,#ffd400,#00bfff,#ff90fe,#48d1cc,#bfbfbf,#808080,#ff1a75,#1affa3,#ffff00,#33cfff,#ffb2fe,#00fff2,#f9f9f9
clrs,#262626,#ffffff,#041730,#6fd3fc,#041730,#6fd3fc,#b3b3b3,#f8282a,#328a5d,#fa701d,#135cd0,#9f00bd,#33c3c1,#000000,#eeeeec,#fb0416,#2cc631,#fdd727,#1670ff,#e900b0,#3ad5ce,#555753
cobalt-neon,#8ff586,#142838,#8ff586,#094fb1,#8ff586,#c4206f,#142631,#ff2320,#3ba5ff,#e9e75c,#8ff586,#781aa0,#8ff586,#ba46b2,#8ff586,#d4312e,#8ff586,#e9f06d,#3c7dd2,#8230a7,#6cbc67,#fff688
cobalt2,#ffffff,#132738,#b5b5b5,#18354f,#132738,#f0cc09,#000000,#ff0000,#38de21,#ffe50a,#1460d2,#ff005d,#00bbbb,#bbbbbb,#555555,#f40e17,#3bd01d,#edc809,#5555ff,#ff55ff,#6ae3fa,#ffffff
cobaltnext,#d8dee9,#1b2b34,#ffffff,#4f5b66,#1b2b34,#fac863,#000000,#ed5f7d,#99c794,#fac863,#5a9bcf,#c5a5c5,#5fb3b3,#d8dee9,#65737e,#d6838c,#c1dcbe,#ffde9b,#8abee7,#edcded,#9be2e2,#ffffff
cobaltnext-dark,#d8dee9,#0f1c23,#ffffff,#5fb3b3,#0f1c23,#fac863,#282f36,#e6576a,#99c794,#fac863,#5a9bcf,#c5a5c5,#5fb3b3,#d8dee9,#65737e,#d6838c,#c1dcbe,#ffde9b,#8abee7,#edcded,#9be2e2,#ffffff
cobaltnext-minimal,#d8dee9,#0f1c23,#ffffff,#5fb3b3,#0f1c23,#5fb3b3,#343d46,#ed6f7d,#99c794,#fac863,#5a9bcf,#c5a5c5,#5fb3b3,#d8dee9,#65737e,#d6838c,#c1dcbe,#ffde9b,#8abee7,#edcded,#9be2e2,#ffffff
coffee-theme,#000000,#f5deb3,#000000,#c1deff,#000000,#c7c7c7,#c7c7c7,#c91b00,#00c200,#c7c400,#0225c7,#ca30c7,#00c5c7,#000000,#ffffff,#ff6e67,#5ffa68,#fffc67,#6871ff,#ff77ff,#60fdff,#686868
crayonponyfish,#68525a,#150707,#69525a,#2b1b1d,#150707,#68525a,#2b1b1d,#91002b,#579524,#ab311b,#8c87b0,#692f50,#e8a866,#68525a,#3d2b2e,#c5255d,#8dff57,#c8381d,#cfc9ff,#fc6cba,#ffceaf,#b0949d
cutiepro,#d5d0c9,#181818,#d5d0c9,#363636,#181818,#efc4cd,#000000,#f56e7f,#bec975,#f58669,#42d9c5,#d286b7,#37cb8a,#d5c3c3,#88847f,#e5a1a3,#e8d6a7,#f1bb79,#80c5de,#b294bb,#9dccbb,#ffffff
cyberdyne,#00ff92,#151144,#f4f4f4,#454d96,#151144,#00ff9c,#080808,#ff8373,#00c172,#d2a700,#0071cf,#ff90fe,#6bffdd,#f1f1f1,#2e2e2e,#ffc4be,#d6fcba,#fffed5,#c2e3ff,#ffb2fe,#e6e7fe,#ffffff
cyberpunk,#e5e5e5,#332a57,#000000,#c1deff,#000000,#21f6bc,#000000,#ff7092,#00fbac,#fffa6a,#00bfff,#df95ff,#86cbfe,#ffffff,#000000,#ff8aa4,#21f6bc,#fff787,#1bccfd,#e6aefe,#99d6fc,#ffffff
cyberpunkscarletprotocol,#d13554,#101116,#000000,#c7ddfc,#000000,#9bfca8,#101116,#ea3356,#64d98c,#faf968,#306fb1,#ba3ec1,#59c2c6,#c7c7c7,#686868,#ed776d,#8df77a,#fefc7f,#6a71f6,#ae40e4,#8efafd,#ffffff
dark-modern,#cccccc,#1f1f1f,#e0e0e0,#3a3d41,#1f1f1f,#ffffff,#272727,#f74949,#2ea043,#9e6a03,#0078d4,#d01273,#1db4d6,#cccccc,#5d5d5d,#dc5452,#23d18b,#f5f543,#3b8eea,#d670d6,#29b8db,#e5e5e5
